,count,mean,std,min,25%,50%,75%,max
Date,246,30 days 10:20:29.268292,0 days 19:46:28.481906,28 days 00:00:00,30 days 00:00:00,31 days 00:00:00,31 days 00:00:00,31 days 00:00:00
CS-Aaa-3MO,246.0,-0.001410569105691064,0.35066915352619316,-1.9140000000000006,-0.15799999999999992,-0.040000000000000036,0.10375000000000004,2.8209999999999997
CS-Aa-3MO,246.0,-0.0028333333333333335,0.30890195371153406,-1.6389999999999993,-0.15799999999999992,-0.03200000000000003,0.11000000000000008,2.104
CS-A-3MO,246.0,-0.002524390243902441,0.3315705936695252,-1.4500000000000002,-0.1685000000000002,-0.034499999999999975,0.1052499999999999,2.468
CS-Baa-3MO,246.0,-0.0024878048780487844,0.3583548205364236,-0.8990000000000009,-0.17200000000000004,-0.03749999999999987,0.12124999999999997,2.983999999999999
CS-Agg-3MO,246.0,-0.0027560975609756113,0.26112300147907974,-1.0699999999999998,-0.15425000000000003,-0.025499999999999856,0.10450000000000009,1.012
CS-Aaa-1YR,246.0,-0.0009634146341463419,0.2857658572794518,-1.8140000000000005,-0.11399999999999999,-0.02849999999999997,0.08275000000000005,2.4109999999999996
CS-Aaa-1YR.1,246.0,-0.0023861788617886206,0.23248503408499777,-1.0090000000000003,-0.10999999999999988,-0.02849999999999997,0.08050000000000002,1.694
CS-Aa-1YR,246.0,-0.0020772357723577205,0.26476100530224306,-0.8199999999999994,-0.12224999999999986,-0.03150000000000003,0.08974999999999989,2.058
CS-Baa-1YR,246.0,-0.0020406504065040676,0.31762255608932766,-0.8890000000000011,-0.14075,-0.030999999999999694,0.09200000000000008,2.9640000000000004
CS-Agg-1YR,246.0,-0.002308943089430896,0.18280062207196887,-0.43999999999999995,-0.1057499999999999,-0.03699999999999998,0.06975000000000006,0.8420000000000001
CS-Aaa-5YR,246.0,-0.00015040650406504395,0.23212640324070574,-1.6440000000000001,-0.06600000000000003,0.0,0.058750000000000135,2.141
CS-Aa-5YR,246.0,-0.0015731707317073172,0.20518899384620928,-1.1589999999999998,-0.06624999999999998,-0.010000000000000009,0.06899999999999995,1.424
CS-A-5YR,246.0,-0.0012642276422764225,0.24443432259413592,-1.0309999999999997,-0.08449999999999996,-0.0015000000000000013,0.07800000000000001,1.7880000000000003
CS-Baa-5YR,246.0,-0.001227642276422759,0.308292699854872,-1.319,-0.10774999999999979,-0.0129999999999999,0.0980000000000002,2.7039999999999997
CS-Agg-5YR,246.0,-0.0014959349593495948,0.11847978379065968,-0.5899999999999999,-0.057750000000000024,-0.0015000000000000013,0.05075000000000003,0.5819999999999999
3MO-TY,246.0,-0.009756097560975615,0.20549726018188133,-1.4,-0.03375000000000006,0.010000000000000002,0.0687500000000001,0.45999999999999996
1YR-TY,246.0,-0.010203252032520324,0.19838109930336026,-1.23,-0.06000000000000004,0.009999999999999981,0.08749999999999991,0.48
5YR-TY,246.0,-0.011016260162601627,0.2630879881911113,-0.8699999999999999,-0.14749999999999974,-0.019999999999999574,0.1399999999999999,0.9199999999999999
